Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1711.5469	112.24186	-1384.124	-1906.6318	200.0	0.047032095	0.037311096	0.24659187	-0.16384149	12000	-6.3578287e-10	958562.4	-0.0013557327	-167578.5	0.9248651	0.0033897962	0.01225	79.0	9.66379714012146
1	-1731.6005	113.653175	-1442.3296	-1913.7468	200.0	-102.902916	0.001758959	-102.87503	-102.90309	24000	6.421407e-08	799954.75	-0.0015778453	-128799.75	0.9219158	0.0032767495	0.02275	79.0	18.410976886749268
2	-1736.238	109.932144	-1446.1897	-1903.4758	200.0	-192.20865	0.0013500943	-192.17863	-192.20877	36000	5.4677326e-08	672078.3	-0.0012663349	-105152.625	0.94462323	0.0025492378	0.013083333	79.0	27.322672367095947
3	-1708.2911	113.69189	-1489.9971	-1907.3169	200.0	-274.90503	0.0018285174	-274.863	-274.90524	48000	7.502238e-08	556832.94	-0.000837176	-84051.78	0.9476624	0.0020481178	0.012166667	79.0	36.29207706451416
4	-1739.1603	123.71037	-1338.2034	-1903.0288	200.0	-351.02466	0.0018051997	-350.99783	-351.0248	60000	-6.357829e-09	485493.34	-0.0017552604	-68408.5	0.95283407	0.0023549916	0.024916667	79.0	44.942357778549194
5	-1702.0067	112.85026	-1368.2593	-1899.8297	200.0	-421.71518	0.001695059	-421.68665	-421.71536	72000	3.1153363e-08	401150.56	-0.0014845232	-51918.47	0.9693566	0.0036390743	0.019416668	79.0	53.68895411491394
6	-1732.4192	112.98105	-1465.3661	-1906.3739	200.0	-485.34155	0.001058425	-485.3248	-485.34155	84000	2.5431316e-08	358272.56	-0.0016038642	-41109.375	1.0028126	0.0030165329	0.021	79.0	62.39149713516235
7	-1713.0331	145.37451	-1381.515	-1914.024	200.0	-543.6575	0.0014087305	-543.6399	-543.6576	96000	2.5431315e-09	313122.78	-0.0017835471	-30629.312	1.0136977	0.004089023	0.018583333	79.0	71.1312825679779
8	-1663.7084	120.563675	-1301.0497	-1886.432	200.0	-595.6765	0.0010113519	-595.66595	-595.6766	108000	-1.3987223e-08	264542.44	-0.0014622237	-20631.562	1.0083036	0.004871267	0.01875	79.0	79.84370064735413
9	-1722.9312	119.93028	-1361.5955	-1895.925	200.0	-639.87	0.0005118339	-639.8609	-639.87006	120000	-3.6239623e-08	261836.84	-0.001145223	-16607.469	1.0008918	0.0025333392	0.016	79.0	88.60637259483337
10	-1697.558	134.31999	-1428.4973	-1901.7631	200.0	-680.5498	0.00053850486	-680.5421	-680.5498	132000	2.2570292e-08	236851.05	-0.0016167171	-10830.609	1.0137699	0.0042951037	0.025916666	79.0	97.54445886611938
11	-1675.2188	137.54782	-1436.5991	-1890.9926	200.0	-714.6487	0.00056301005	-714.6413	-714.64886	144000	-5.1339466e-08	218017.64	-0.001057391	-6593.9375	1.0421063	0.0030564812	0.01475	79.0	106.3178403377533
